번호,시도,시군구,운영주체,산후조리원,주소,전화번호,일반실,특실
51,서울,강서구,민간,유광사산후조리원,서울특별시 강서구 강서로 198 (화곡동) 5~7층,1588-3006,260,
52,서울,강서구,민간,퀸즈마리산후조리원(가양점),서울특별시 강서구 양천로 461 (가양동) 주영빌딩 5층,02-2659-0031,300,360
53,서울,강서구,민간,(주)목동라테라산후조리원,서울특별시 강서구 등촌로 45 (화곡동) 5층,02-2653-3588,440,640
54,서울,강서구,민간, 궁산후조리원(강서점),서울특별시 강서구 양천로 600 (등촌동) 파인블루빌딩 3~4층,02-2083-0600,440,520
55,서울,강서구,민간,리베산후조리원,서울특별시 강서구 마곡중앙5로 81 (마곡동) 에스비타운 6층,02-2664-6999,370,450
56,서울,강서구,민간,서울미래아이산후조리원,서울특별시 강서구 양천로 354 (가양동) 옥천빌딩 2~5층,02-3661-1115,370,
57,서울,강서구,민간,(주)에빠토르베르쏘산후조리원,서울특별시 강서구 공항대로48길 13-5 (화곡동) ,02-2602-1210,680,1200
58,서울,강서구,민간,드팜므산후조리원,"서울특별시 강서구 마곡중앙8로 5길 11 (마곡동) 마곡파인스퀘어Ⅲ 4,5층(마곡동)",02-3664-1265,715,1820
59,서울,구로구,민간,로얄사임당산후조리원(천왕점),"서울특별시 구로구 천왕로 106, 5층",02-2688-6200,260,
60,서울,구로구,민간,맘스퀘어산후조리원,"서울특별시 구로구 경인로 240, 102동 2층",02-2611-7322,320,350
61,서울,구로구,민간,미래산후조리원,서울특별시 구로구 서해안로 2296,02-2682-2400,300,
62,서울,구로구,민간,민전산후조리원,서울특별시 구로구 경인로 322,02-2060-9315,270,300
63,서울,구로구,민간,아름제일산후조리원 1관,서울특별시 구로구 새말로 94,02-856-9301,450,540
64,서울,금천구,민간,VIP산후조리원,금천구 시흥대로 429 3층,02-851-1566,280,390
65,서울,금천구,민간,MJ산후조리원,금천구 시흥대로 415 4~5층,02-2109-3003,320,350
66,서울,영등포구,민간,라솜산후조리원,영등포구 선유로63 동신타워5층,02-2679-5005,390,420
67,서울,영등포구,민간,더아이리스산후조리원,영등포구 영중로 140 드림프라자 A동 4층,02-2068-6167,320,360
68,서울,영등포구,민간,리더스산후조리원,서울시 영등포구 선유로 59(문래동 6가) 문래아카데미빌딩 6층,02-3667-3579,380,400
69,서울,영등포구,민간,메르디앙산후조리원,서울시 영등포구 도신로 116(신길동),02-848-3579,350,510
70,서울,동작구,민간,청화병원부설산후조리원,서울특별시 동작구 장승배기로 108,02-6496-5650,320,430
71,서울,동작구,민간,카리스산후조리원(보라매점),서울특별시 보라매로 5가길 16. 아카데미403,02-833-2227,330,380
72,서울,관악구,민간,로얄사임당산후조리원(서울대),서울시 관악구 남부순환로1802 관악캠퍼스타워 3층,02-873-1112,370,470
73,서울,관악구,민간,로얄사임당산후조리원(봉천),서울시 관악구 양녕로46 메카플러스 8층,02-889-0700,,470
74,서울,서초구,민간,㈜사임당아모리움산후조리원,서초구 서운로 216(서초동 동인빌딩),02-533-6169,430,620
75,서울,서초구,민간,SK산후조리원,"서초구 동작대로 172 ,301호",02-592-0020,500,
76,서울,서초구,민간,센트리움산후조리원,서초구 고무래로22,02-535-3853,460,530
77,서울,서초구,민간,서래네송스산후조리원,"서초구 사평대로18길 10호 6,7,8층",02-537-3232,450,550
78,서울,강남구,민간,한아름산후조리원,서울시 강남구 논현로 98 ?(개포동),02-3412-0101,420,500
79,서울,강남구,민간,호산산후조리원,서울시 강남구 압구정로38길 6  (신사동),02-1577-7611,460,680
80,서울,강남구,민간,세인트파크산후조리원,서울시 강남구 삼성로120길 30 (삼성동),02-514-9781,700,1300
81,서울,강남구,민간,더궁산후조리원,서울시 강남구 봉은사로111길 13 (삼성동),02-547-5047,590,1300
82,서울,강남구,민간,M&H산후조리원,서울시 강남구 언주로707  (논현동),02-3446-3434,590,790
83,서울,강남구,민간,그녀의정원드라마산후조리원,서울시 강남구 언주로303(역삼동),02-3453-4628,1000,1200
84,서울,강남구,민간,트리티니산후조리원(삼성점),서울시 강남구 삼성로548 (삼성동),02-508-0013,655,798
85,서울,강남구,민간,도곡궁산후조리원,서울시 강남구 도곡로6길 13(도곡동),02-577-8677,630,1500
86,서울,강남구,민간,헤리티지산후조리원,서울시 강남구 삼성로 635(삼성동),02-518-2433,1700,2700
87,서울,강남구,민간,청담마리더블레스산후조리원,서울시 강남구 학동로97길 21-3(청담동),02-3471-2233,748,2000
88,서울,강남구,민간,드라마글로벌산후조리원,서울시 강남구 언주로303(역삼동),02-3453-4628,1200,3800
89,서울,강남구,민간,궁산후조리원(강남본원지점),서울시 강남구 언주로107길 35  (역삼동),02-555-9550,730,2000
90,서울,강남구,민간,윤호산후조리원,서울시 강남구 압구정로 304 (신사동),02-2015-2540,460,510
91,서울,강남구,민간,헤리티지산후조리원 2호점,서울시 강남구 영동대로 141길 20,02-517-2433,820,1360
92,서울,강남구,민간,엘산후조리원,서울시 강남구 자곡로 110,02-579-0303,700,1300
93,서울,강남구,민간,아니다산후조리원,"서울시 강남구 선릉로 629, A동 4층",02-3445-9992,1500,2500
94,서울,송파구,민간,라렌느산후조리원,"서울시 송파구 석촌호수로156 썬프라자 6,7층",02-414-3322,310,350
95,서울,송파구,민간,라벨메르산후조리원,서울시 송파구 송파대로3(중기빌딩 4층5층),02-484-3710,320,380
96,서울,송파구,민간,레이나산후조리원,서울시 송파구 마천로4,1661-3118,500,550
97,서울,송파구,민간,보네르아샤산후조리원,"서울시 송파구 백제고분로50길 7-7, 3~5층)",02-422-3588,260,320
98,서울,송파구,민간,베르사유산후조리원,서울시 송파구 석촌호수로 210 ,02-413-0035,490,830
99,서울,송파구,민간,소피아산후조리원,"서울시 송파구 중대로 317, 3,4층",02-3401-1004,400,450
100,서울,송파구,지자체,송파산모건강증진센터산후조리원,서울시 송파구 충민로2길 20,02-431-3535,209,
101,서울,송파구,민간,포유문산후조리원,서울시 송파구 양재대로 60길 3,02-6425-1600,390,580
102,서울,송파구,민간,푸른잎산후조리원,서울시 송파구 양산로12 세신훼미리타운 6층,02-431-9694,260,340
103,서울,강동구,민간,가율산후조리원,"서울특별시 강동구 천호대로 1128, 웰빙메디컬빌딩 6~7층 (성내동)",02-485-0087,280,310
104,서울,강동구,민간,강동드림산후조리원,"서울특별시 강동구 상일로12길 97, 강동드림산부인과 3층 (상일제2동)",02-341-4567,300,380
105,서울,강동구,민간,강동맘스산후조리원,"서울특별시 강동구 천호대로 1099, 6층 (천호동)",02-485-2151,300,330
106,서울,강동구,민간,(주)라파엘산후조리원,"서울특별시 강동구 올림픽로 833, 매일우리아이센타 3~6층 (암사동)",02-2135-6800,350,500
107,서울,강동구,민간,마벨산후조리원,"서울특별시 강동구 성안로 156, 우주빌딩 4층 (길동)",02-472-6565,350,
108,서울,강동구,민간,몽쉘베베산후조리원,"서울특별시 강동구 양재대로 1657-11, 대은상가 5층 (명일동)",02-429-6777,330,
109,서울,강동구,민간,예그리나산후조리원,"서울특별시 강동구 아리수로 421, MIDC빌딩 7,8층 (강일동)",02-3428-3535,320,
110,서울,강동구,민간,트리니티산후조리원(강동송파점),"서울특별시 강동구 강동대로 143-64, 태창타워 3층 (성내동)",02-486-3300,546,610
111,서울,강동구,민간,퍼스트스마일산후조리원,"서울특별시 강동구 천호대로159길 13, 퍼스트스마일산후조리원 (천호동)",1661-0997,350,430
112,서울,강동구,민간,헤라산후조리원,"서울특별시 강동구 양재대로 1498, 4~5층 (길동, 호석빌딩)",02-6483-0088,470,630
113,부산,서구,민간,구세산후조리원,부산광역시 서구 구덕로114(충무동1가),051-253-5555,180,280
114,부산,동구,민간,좋은문화산후조리원,부산광역시 동구 범일로 89번길 69,051-643-3700,270,380
115,부산,부산진구,민간,미래여성산후조리원,부산광역시 부산진구 가야대로 459,051-890-9998,310,440
116,부산,부산진구,민간,아이사랑산후조리원,부산광역시 부산진구 가야대로 472,051-890-7180,310,350
117,부산,동래구,민간,좋은날에드라마산후조리원,부산광역시 동래구 충렬대로 449(안락동),051-529-3545,260,300
118,부산,남구,민간,마미캠프산후조리원,"부산광역시 남구 수영로 294, 동일 스위트 3층",051-621-1242,270,550
119,부산,북구,민간,화명일신기독병원산후조리원,부산광역시 북구 금곡대로 83,070-4498-6070,220,300
120,부산,북구,민간,미래로산후조리원,"부산광역시 금곡대로 15,  7,8,9층 산후조리원",051-330-5620,260,460
121,부산,북구,민간,미즈웰산후조리원,부산광역시 북구 금곡대로280-7,051-797-7770,210,290
122,부산,해운대구,민간,엘리움산후조리원,부산광역시 해운대구 해운대로 794 12층,051-711-2004,398,1100
123,부산,해운대구,민간,제일여성산후조리원,부산광역시 해운대구 좌동로 66,051-743-0331,290,
124,부산,해운대구,민간,퀸즈힐산후조리원,부산광역시 해운대구 해운대로 794 13층,051-715-5150,385,1650
125,부산,사하구,민간,뉴본산후조리원,부산광역시 사하구 낙동대로 234(괴정동),051-910-7180,200,260
126,부산,사하구,민간,㈜에디스산후조리원,부산광역시 사하구 낙동대로 363 (당리동),051-206-0999,260,300
127,부산,사하구,민간,미래아이산후조리원,부산광역시 사하구 낙동남로 1388 (하단동),051-200-9900,238,368
128,부산,금정구,민간,순산후조리원 신관,부산광역시 금정구 중앙대로 1689,051-582-0070,300,480
129,부산,연제구,민간,연제일신산후조리원,부산광역시 월드컵대로 120번길 15 ,051-852-2031,400,600
130,부산,연제구,민간,위대한탄생산후조리원,부산광역시 연제구 중앙대로1083,051-862-0010,240,300
131,부산,수영구,민간,광안자모병원산후조리원,부산광역시 수영구 수영로 555,051-760-0570,360,900
132,부산,기장군,민간,정관일신기독산후조리원,"부산광역시 기장군 정관읍 정관6로 31, 9층",051-780-0640,235,345
133,부산,기장군,민간,아이앤젤산후조리원,"부산광역시 기장군 정관읍 정관로 601, 5층",051-997-3579,280,360
134,부산,강서구,민간,웰하이산후조리원,"부산광역시 강서구 명지오션시티4로 95 9층, 10층 ",051-204-5282,240,
135,대구,동구,민간,아델리아산후조리원,대구 동구 안심로 54(율하동),053-963-6663,280,340
136,대구,서구,민간,닥터안산후조리원,대구광역시 서구 서대구로 49,053-562-7114,240,300
137,대구,북구,민간,신세계병원산후조리원,대구광역시 북구 동북로 196,053-954-7771,220,290
138,대구,북구,민간,로즈마리산후조리원,대구광역시 북구 팔거천동로 215,053-210-7737,290,320
139,대구,북구,민간,웰(well)산후조리원,대구광역시 북구 팔거천동로 218,053-314-0113,270,330
140,대구,북구,민간,류정선산후조리원,대구광역시 북구 학정로 415,053-325-2900,240,260
141,대구,수성구,민간,엘리자벳산후조리원,대구광역시 수성구 무학로 25,053-765-8585,300,390
142,대구,수성구,민간,지온산후조리원,대구광역시 수성구 청수로 166,053-765-0057,320,350
143,대구,수성구,민간,시엘산후조리원,대구광역시 수성구 달구벌대로 3316,053-241-1009,300,350
144,대구,수성구,민간,본느마망산후조리원,대구광역시 수성구 수성로38길 33,053-721-7071,380,430
145,대구,수성구,민간,㈜김혜정산후조리원(수성),대구광역시 수성구 명덕로 432,053-656-0012,270,380
146,대구,수성구,민간,여성메디파크산후조리원,대구광역시 수성구 동대구로 271,053-740-7760,300,350
147,대구,수성구,민간,더블유산후조리원,대구광역시 수성구 화랑로 58,053-757-2500,200,310
148,대구,달서구,민간,김혜정산후조리원,대구광역시 달서구 구마로 201,053-656-8575,270,
149,대구,달서구,민간,꿈담산후조리원,대구광역시 달서구 이곡서로 11,053-583-7447,240,270
150,대구,달서구,민간,리엘산후조리원,대구광역시 달서구 월배로 58,053-636-2221,260,340
151,대구,달서구,민간,미래산후조리원,대구광역시 달서구 와룡로 203,053-608-7000,270,340
152,대구,달서구,민간,여성아이산후조리원,대구광역시 달서구 월배로 141,070-4571-7072,270,310
153,대구,달성군,민간,로즈맘산후조리원,대구광역시 달성군 다사읍 달구벌대로 874(7층),053-592-3575,220,250
154,대구,달성군,민간,프로마드레산후조리원,"대구광역시 달성군  유가면 테크노순환로 12길 4, 7층",053-627-5555,270,310
155,인천,미추홀구,민간,더블유산후조리원,인천 미추홀구 인주대로 400,032-341-3535,380,420
156,인천,미추홀구,민간,고은여성산후조리원,인천  미추홀구 독배로 463,032-870-5314,300,
157,인천,미추홀구,민간,아이미즈산후조리원,인천  미추홀구 경원대로 890,032-435-3575,250,
158,인천,미추홀구,민간,아이소망산후조리원,"인천  미추홀구 미추로 56, 3층",032-883-6376,250,280
159,인천,미추홀구,민간,아인의료재단 아인산후조리원,인천  미추홀구 경인로 372 4층,032-459-6000,570,650
160,인천,연수구,민간,우리산후조리원,"인천  연수구 앵고개로260, 맘모스빌딩 7층",032-816-5464,330,330
161,인천,연수구,민간,미래제일산후조리원,"인천  연수구 먼우금로 189, 6층 601,603호(청학동, 소망글로벌)",032-246-0101,290,350
162,인천,남동구,민간,아이미즈산후조리원," 인천 남동구 호구포로 836, 구월프라자 7층 (구월동)",032-469-1255,250,
163,인천,남동구,민간,마이비산후리원,"인천 남동구 논고개로123번길17, 아이플랙스 7층 (논현동)",032-424-7007,300,320
164,인천,남동구,민간,리앤아이산후조리원,"인천 남동구 논고개로 71, 가산타워 5~6층(논현동)",032-270-7700,300,400
165,인천,남동구,민간,Y산후조리원,인천 남동구 논고개로 77 에코타워 10층 (논현동),032-441-5599,320,380
166,인천,부평구,민간,새봄산후조리원,인천  부평구 마장로320,032-507-7200,250,320
167,인천,부평구,민간,성모산후조리원,인천  부평구 부평대로66,032-330-7502,295,345
168,인천,계양구,민간,한림산후조리원,인천 계양구 장제로 718 3층,032-552-9696,320,399
169,인천,계양구,민간,엠엔비산후조리원,인천 계양구 장제로 772번길 2 7~8층,032-552-3500,200,220
170,인천,서구,민간,그린산후조리원,인천 서구 건지로 371(가좌동),032-574-3661,270,
171,인천,서구,민간,뉴마더맘산후조리원,인천 서구 길주로 79 성한캐슬 901호(석남동),032-577-9990,300,330
172,인천,서구,민간,더나아산후조리원,인천 서구 검단로 480 7층(오류왕길동),032-567-3582,300,340
173,인천,서구,민간,마리아산후조리원,인천 서구 가정로 358(가정동),032-571-5667,220,240
174,인천,서구,민간,청라산후조리원,"인천 서구 중봉대로 602 6,7,8층(연희동)",032-716-6006,360,
175,인천,서구,민간,크리스탈산후조리원,인천 서구 크리스탈로 84(청라동),032-584-3535,380,410
176,인천,서구,민간,탑산후조리원,"인천 서구 청마로51번안길22 3,4층(당하동)",032-463-0118,250,
177,광주,서구,민간,미즈산후조리원,광주광역시 서구 시청로 17,062-720-9000,292,387
178,광주,남구,민간,모아산후조리원,광주광역시 백양로13,10-4068-7774,192,272
179,광주,북구,민간,마더힐산후조리원,광주 광역시 북구 우치로422번길 17 6층,062-575-8787,585,780
180,광주,북구,민간,빛고을산후조리원,광주 광역시 북구 하서로 395,062-602-9200,294,500
181,광주,북구,민간,에덴병원산후조리원,광주광역시 북구 면앙로170번길10(두암동),062-260-3403,265,303
182,광주,광산구,민간,더블유산후조리원,"광주광역시 광산구 임방울대로 331, 2F~3F",062-616-9100,262,425
183,광주,광산구,민간,더엘산후조리원,"광주광역시 무진대로239 4층일부,5층",062-710-8000,700,1000
184,대전,동구,민간,가오플러스산후조리원,대전광역시 동구 은어송로 63 (가오동),042-286-3535,264,330
185,대전,동구,민간,라온산후조리원,대전광역시 동구 동서대로1683번길 33-11 (용전동),042-286-3575,288,376
186,대전,서구,민간,서울여성병원제1산후조리원,"대전광역시 서구 문정로 7, 7~10층(둔산2동)",042-488-3565,322,430
187,대전,서구,민간,서울여성병원제2산후조리원,대전광역시 서구 계룡로491번길 20(둔산2동),042-488-3565,280,
188,대전,서구,민간,모태산후조리원,"대전광역시 서구 대덕대로 189, 8~10층(둔산2동)",042-486-1114,281,391
189,대전,서구,민간,더블유산후조리원,"대전광역시 서구 문정로48번길70, 5층(탄방동)",042-485-0001,400,457
190,대전,서구,민간,예담산후조리원,"대전광역시 서구 도안대로25, 5~6층(관저1동)",042-546-9302,320,350
191,대전,서구,민간,미즈여성산후조리원,"대전광역시 서구 문정로2번길 95, 7층(탄방동)",042-476-9970,220,520
192,대전,유성구,민간,미즈제일산후조리원,대전광역시 유성구 계룡로 126,042-821-0001,275,520
193,울산,중구,민간,맘스산후조리원,울산광역시 중구 남외2길 36 (남외동),052-290-6721,260,320
194,울산,중구,민간,피오레산후조리원,울산광역시 중구 종가로 310 엠타워 10층,052-256-6011,380,475
195,울산,남구,민간,보람병원산후조리원,울산광역시 돋질로 332번길 12,052-278-4500,290,
196,울산,남구,민간,르보아산후조리원,울산광역시 대공원로 241 코오롱파크폴리스 6층 ,052-256-1052,330,
197,울산,남구,민간,리안산후조리원,"울산광역시 번영로 160, 4층",052-272-2378,350,
198,울산,동구,민간,로즈메디산후조리원,울산 동구 방어진순환도로 747,052-234-3575,240,
199,울산,북구,지자체,울산북구공공산후조리원,울산광역시 북구 호계매곡5로 60,052-294-9123,226.8,
200,세종,세종시,민간,르보아산후조리원,"세종 한누리대로 165, 세종메디피아 8층(나성동)",044-716-1004,350,380
201,세종,세종시,민간,드이자르산후조리원,"세종 갈매로 351, 에비뉴힐 3층(어진동)",044-905-1004,360,360
202,세종,세종시,민간,세종제일산후조리원,세종 한누리대로 2265,044-866-3582,160,
203,세종,세종시,민간,노블클라쎄산후조리원,"세종 한누리대로 2165, 대방디엠씨티상가 A동 308-2~314",044-867-3579,420,
204,세종,세종시,민간,봄날산후조리원,"세종 마음로 78, 세종스마트큐브2 6~7층",044-865-9596,360,
205,세종,세종시,민간,연세산후조리원,"세종 대평4길 17, 센트럴테라스6~7층",044-862-2079,430,450
206,경기,수원시,민간,베스트산후조리원,수원시 장안구 만석로 11,031-269-8833,250,320
207,경기,수원시,민간,우먼플러스산후조리원,수원시 장안구 경수대로 892,031-248-8114,300,330
208,경기,수원시,민간,더헬리아산후조리원,"경기도 수원시 권선구 금곡로197번길 18-39, 5-6층 (금곡동)",031-306-0270,500,600
209,경기,수원시,민간,(주)더케어산후조리원,"경기도 수원시 권선구 호매실로104번길 24-76, 501,601호 (호매실동)",10-3372-8184,460,
210,경기,수원시,민간,세인트마리여성병원산후조리원,경기도 수원시 권선구 금곡로197번길 70 (금곡동),031-289-3056,385,440
211,경기,수원시,민간,주식회사 루시아산후조리원,경기도 수원시 권선구 서부로1596번길 10 (고색동),031-895-8100,270,410
212,경기,수원시,민간,에덴메디여성병원산후조리원,경기도 수원시 권선구 동수원로 220 (권선동),031-236-2000,310,370
213,경기,수원시,민간,수원제일산후조리원,"경기도 수원시 팔달구 덕영대로 691-12(화서동,5층)",031-291-8205,240,290
214,경기,수원시,민간,쉬즈메디산후조리원,경기도 수원시 팔달구 경수대로 527(인계동),031-235-7337,320,680
215,경기,수원시,민간,조이풀산후조리원,경기도 수원시 영통구 반달로7번길 16 (영통동),031-205-5577,280,330
216,경기,수원시,민간,㈜미소산후조리원,경기도 수원시 영통구 반달로7번길 40 5층,031-273-0051,280,300
217,경기,수원시,민간,연세산후조리원,경기도 수원시 영통구 중부대로 333 (원천동),031-548-2020,197,230
218,경기,수원시,민간,㈜샤론산후조리원,"경기도 수원시 영통구 청명남로34번길 21, 6층 (영통동, 테라스가든)",031-204-9700,,370
219,경기,수원시,민간,㈜네이처스품산후조리원,경기도 수원시 영통구 이의동 1221-3,031-215-7347,,460
220,경기,수원시,민간,오늘산후조리원,"경기도 수원시 영통구 반달로 21, 매직프라자 6층",031-205-7776,290,400
221,경기,수원시,민간,시온산후조리원,경기도 수원시 영통구 봉영로 1605 모던타운 8층,031-206-7500,300,500
222,경기,수원시,민간,리베르리움산후조리원,경기도 수원시 영통구 삼성로 34,031-203-2301,360,480
223,경기,용인시,민간,용인제일산후조리원,용인시 처인구 중부대로 1347(김량장동),031-8031-0270,,200
224,경기,용인시,민간,마미맘스산후조리원,용인시 처인구 금학호345번길(김량장동),031-323-3510,280,
225,경기,용인시,민간,(주) 다온누리산후조리원,"용인시 기흥구흥덕2로87번길18,6층",1566-1641,219,315
226,경기,용인시,민간,루나산후조리원(동탄점),"용인시 기흥구 서천로202번길1, 5층",031-548-2705,270,
227,경기,용인시,민간,로얄산후조리원,용인시  기흥구 흥덕2로85 우연프라자 5층,031-211-2288,330,380
228,경기,용인시,민간,노블엘르산후조리원,"용인시 기흥구 구갈동352, 메가타운7층",031-286-1016,320,360
229,경기,용인시,민간,더미래산후조리원,"용인시  기흥구 죽전로 2, 6층",031-897-7988,360,400
230,경기,용인시,민간,크래들산후조리원,용인시 기흥구 죽현로80번길54,031-896-2222,300,340
231,경기,용인시,민간,벨라니산후조리원(동탄점),용인시  기흥구 농서동 413-2,031-204-2288,390,
232,경기,용인시,민간,수지미래산후조리원,"용인시 수지수 포은대로313번길 4, 6~7층",031-896-3333,315,651
233,경기,용인시,민간,알리르마리산후조리원,"용인시 수지구 손곡로 95, 4~5층",031-236-1068,350,390
234,경기,용인시,민간,(주)디엘린산후조리원,용인시 수지구 성복2로 348,031-263-8855,450,630
235,경기,용인시,민간,㈜루산후조리원,"용인시 수지구 법조로 242, 3~5층",031-225-0011,380,480
236,경기,용인시,민간,㈜베베포레스트산후조리원,"용인시 수지구 풍덕천로 149, 7층",031-272-7788,390,420
237,경기,고양시,민간,유재산후조리원," 고양시 일산동구 중앙로1317, 6~7층",031-810-9717,320,399
238,경기,고양시,민간,킹덤산후조리원," 고양시 일산동구 중앙로1072, 3층",031-908-6020,300,380
239,경기,고양시,민간,그레이스산후조리원," 고양시 일산동구 중앙로 1071, 6~8층",031-901-4000,390,600
240,경기,고양시,민간,퀸스파크산후조리원," 고양시 일산동구 위시티로18, 2층",031-932-3737,450,490
241,경기,고양시,민간,마티네차움산후조리원, 고양시 일산동구 중앙로1205,031-782-8998,530,1700
242,경기,고양시,민간,더플라워산후조리원, 고양시 화중로 72번지 6층,031-819-1000,290,320
243,경기,고양시,민간,주)세인트누보산후조리원, 고양시 덕양구 충장로 2. 센트럴빌딩8층,031-970-3335,500,550
244,경기,고양시,민간,이자르산후조리원," 고양시 덕양구중앙로558,16-6(행신동신일빌딩)",031-938-3038,220,
245,경기,고양시,민간,아이산산후조리원,일산서구 덕이로 8(덕이동),031-916-9410,260,
