번호,시도,시군구,산후조리원,주소,전화번호,일반실,특실
23,서울,강북구,햇빛병원부설 햇빛산후조리원,서울특별시 강북구 도봉로 131(미아동),02-996-1511,400,550
24,서울,강북구,맘스텔라산후조리원,서울특별시 강북구 도봉로 136(미아동),02-985-3542,240,250
25,서울,강북구,라테라산후조리원 미아,"서울특별시 강북구 삼양로 184, 6층(미아동)",02-6218-3588,270,0
26,서울,도봉구,에이치큐브산후조리원,"서울특별시 도봉구 도봉로 604(창동) 에이치큐브병원 7, 8층",02-995-8000,280,320
27,서울,도봉구,소중한맘산후조리원,서울특별시 도봉구 도봉로 575(쌍문동) 7층,02-903-0033,250,0
28,서울,도봉구,마미캠프 산후조리원,서울특별시 도봉구 해등로 125(창동) 한영빌딩 2층,02-993-4300,240,0
29,서울,도봉구,강남퀸즈 산후조리원 강북점,"서울특별시 도봉구 도봉로 524  (창동)  6,7층",02-6415-3535,290,320
30,서울,노원구,이자르산후조리원,"서울특별시 수락산로 232, 3층(상계동)",02-935-7979,240,260
31,서울,노원구,모아드림산후조리원,서울특별시 상계로5길 9(상계동),02-937-7777,260,290
32,서울,노원구,노원라테라산후조리원,서울특별시 상계로7길 17(상계동),02-951-2300,300,0
33,서울,노원구,더블레스 산후조리원,"서울특별시 노원로 240(하계동, 백경빌딩)",02-949-2223,380,532
34,서울,노원구,동그라미산후조리원(월계),"서울특별시 초안산로5길 12, 5층(월계동)",02-904-8034,250,0
35,서울,은평구,인정산후조리원,서울특별시 은평구 응암로 164,02-2187-1430,240,330
36,서울,은평구,더은혜산후조리원,서울특별시 은평구 진흥로 133,02-388-5638,290,310
37,서울,은평구,이자르산후조리원,서울특별시 은평구 응암로 235 대성B 4층,02-305-4931,290,330
38,서울,은평구,아이젤산후조리원,서울특별시 은평구 서오릉로 81,02-355-0069,240,0
39,서울,은평구,아가랑산후조리원,서울특별시 은평구 서오릉로 145 상원빌딩5층,02-356-5422,220,250
40,서울,은평구,레피리움 산후조리원,"서울특별시 은평구 통일로 856, 8층",02-6941-1231,450,0
41,서울,서대문구,동그라미 산후조리원(서대문점),"서울특별시 서대문구 응암로 133, 2, 3층",02-374-2882,370,400
42,서울,서대문구,제이 산후조리원,서울특별시 서대문구 통일로 442(홍제동),02-2153-7788,280,336
43,서울,마포구,아이린산후조리원 성산점,"서울특별시 마포구 월드컵북로 137(성산동,CS타워 10층)",02-3142-3003,260,300
44,서울,마포구,아이린산후조리원 망원점,서울특별시 마포구 월드컵로 155(망원동),02-3152-1212,260,290
45,서울,마포구,라펠리체산후조리원,서울특별시 마포구 월드컵북로 497(상암동),02-306-2617,0,0
46,서울,양천구,(주)동그라미 레피리움 강서점,서울특별시 양천구 화곡로 64(신월5동) 동화빌딩 2층,02-2065-7301,450,0
47,서울,양천구,목동굿맘 산후조리원,서울특별시 양천구 신월로 338(신정1동)원빌딩 4층,02-2654-0030,220,300
48,서울,양천구,㈜이자르산후조리원목동지점,서울특별시 양천구 목동중앙남로3가길 127,02-2061-6001,240,260
49,서울,양천구,에빠토르베르쏘 목동점,서울특별시 양천구 은행정로 5(신정동)  에벤에셀프라자 5층,02-2647-0100,370,0
50,서울,양천구,(주)밝은미래,서울특별시 양천구 남부순환로 654 SM빌딩 10층,02-2619-1000,270,0
51,서울,양천구,품안애 산후조리원,서울특별시 양천구 신월로 164(신월6동),02-2601-3588,245,0
52,서울,양천구,(주)동그라미 레피리움 목동점,서울특별시 양천구 오목로325 (목동 대학빌딜6층),02-6491-1001,500,0
53,서울,양천구,포미즈타임 산후조리원,"서울시 양천구 공항대로610 포미즈여성병원 내(3,5층)",02-2651-7500,280,0
54,서울,양천구,목동제일,서울시 양천구 중앙로 300(신정동) 시온빌딩6~8층,02-6927-3647,280,300
55,서울,강서구,유광사 산후조리원,서울특별시 강서구 강서로 198 5~7층,1588-3006,260,0
56,서울,강서구,㈜궁 산후조리원(화곡지점),"서울특별시 강서구 화곡로 191 남서울빌딩 3,4층",1644-3358,330,380
57,서울,강서구,미즈앤노블 산후조리원,서울특별시 강서구 양천로 461 주영빌딩 5층,02-2659-0031,300,0
58,서울,강서구,(주)목동라테라 산후조리원,서울특별시 강서구 등촌로 45,02-2653-3588,400,500
59,서울,강서구,㈜궁 산후조리원(강서점),서울특별시 강서구 양천로 600 파인블루빌딩 3~4층,02-2083-0600,440,520
60,서울,강서구,벌스데이 산후조리원,서울특별시 강서구 마곡중앙5로 81길 에스비타운6층,02-2664-6999,350,420
61,서울,강서구,(주)에빠토르베르쏘 산후조리원,서울특별시 강서구 양천로 354 옥천빌딩 2~5층,02-3661-1115,390,430
62,서울,구로구,미래산후조리원,서울특별시 구로구 서해안로 2296,02-2682-2400,250,0
63,서울,구로구,로얄사임당산후조리원 천왕점,"서울특별시 구로구 천왕로 106, 5층(골드프라자)",02-2688-6200,250,0
64,서울,구로구,아름제일산후조리원 1관,"서울특별시 구로구 새말로 94, 7~8층",02-856-9301,380,480
65,서울,구로구,맘스퀘어산후조리원,"서울특별시 구로구 경인로 240, 102동 2층(예성라온팰리스)",02-2611-7322,270,300
66,서울,구로구,연세사랑모아여성병원부설산후조리원,"서울특별시 구로구 중앙로 100, 6~7층",02-2636-3210,300,400
67,서울,구로구,아름제일산후조리원 2관,"서울특별시 구로구 공원로 83, 3~4층",02-854-6677,300,320
68,서울,구로구,민전산후조리원,"서울특별시 구로구 경인로 322, 3층",02-2060-9315,240,280
69,서울,금천구,VIP산후조리원,서울특별시 금천구 시흥대로 429 삼희빌딩 3층,02-851-1566,240,0
70,서울,금천구,뉴연세산후조리원,서울특별시 금천구 시흥대로 71길 41,02-891-1541,260,350
71,서울,금천구,MJ산후조리원,서울특별시 금천구 시흥대로 415 4~5층,02-2109-3003,330,280
72,서울,영등포구,이자르산후조리원,"서울특별시 영등포구 도신로 116, 4층",02-848-3579,250,270
73,서울,영등포구,아란태산후조리원,서울특별시 영등포구 선유로63(문래3가)77-1번지,02-2676-5757,300,340
74,서울,영등포구,㈜라솜산후조리원,서울특별시 영등포구 선유로 63 동신타워5층,02-2679-5005,300,320
75,서울,영등포구,(주)리더스산후조리원,서울특별시 영등포구 선유로 59,02-3667-3579,310,330
76,서울,영등포구,아이리스산후조리원,서울특별시 영등포구 영중로 140 드림프라자 4층,02-2068-6167,225,255
77,서울,동작구,청화병원부설,서울특별시 장승배기로 108,02-6496-5620,280,380
78,서울,동작구,카리스,서울특별시 보라매로5가길 16. 4층(403호),02-833-2227,330,380
79,서울,동작구,늘푸른,서울특별시 상도동 25번지 14호 세담빌딩 7층,02-814-3588,230,250
80,서울,관악구,로얄사임당(서울대점),서울특별시 관악구 남부순환로 1802(관악켐퍼스타워),02-873-1112,340,0
81,서울,관악구,로얄사임당(봉천점),서울특별시 관악구 양녕로 46(메카플러스),02-889-0700,350,390
82,서울,서초구,㈜YK동그라미레피리움산후조리원 강남점,서울특별시 서초구 동작대로 172 로얄쇼핑센타 3층,02-532-1633,450,0
83,서울,서초구,서래네송스산후조리원,서울특별시 서초구 사평대로18길 10 (반포동),02-537-3232,400,450
84,서울,서초구,㈜사임당아모리움산후조리원,서울특별시 서초구 서운로 216(서초동 동인빌딩),02-533-6169,371,371
85,서울,서초구,㈜센트리움산후조리원,서울특별시 서초구 고무래로 22(쌍동빌딩6층),02-535-3853,500,600
86,서울,서초구,(주)메르앙서래산후조리원,"서울특별시 서초구 동광로49길 7 (반포동, 양지빌딩 3,4,5층)",02-592-0227,700,0
87,서울,강남구,트리니티산후조리원(청담점),서울특별시 강남구 학동로101길 15 (청담동),02-541-5673,600,700
88,서울,강남구,한아름산후조리원,서울특별시 강남구 논현로 98 (개포동),02-3412-0101,380,500
89,서울,강남구,차병원산후조리원,서울특별시 강남구 논현로 566  (역삼동),02-3468-3327,410,550
90,서울,강남구,호산산후조리원,서울특별시 강남구 압구정로38길 6  (신사동),02-1577-7611,440,680
91,서울,강남구,앙즐레산후조리원,서울특별시 강남구 도곡로1길 14  (역삼동),02-554-6600,400,470
92,서울,강남구,더궁산후조리원,서울특별시 강남구 봉은사로111길 13 (삼성동),02-547-5047,570,1300
93,서울,강남구,M&H산후조리원,서울특별시 강남구 언주로 707  (논현동),02-3446-3434,590,790
94,서울,강남구,그녀의정원 드라마 산후조리원,서울특별시 강남구 언주로303(역삼동),02-3453-4628,800,1200
95,서울,강남구,트리티니산후조리원(삼성점),서울시 강남구 삼성로548 (삼성동),02-508-0013,550,900
96,서울,강남구,도곡궁산후조리원,서울특별시 강남구 도곡로6길 13(도곡동),02-577-8677,630,1500
97,서울,강남구,헤리티지산후조리원,서울특별시 강남구 삼성로 635(삼성동),02-518-2433,1300,2300
98,서울,강남구,청담마리더블레스산후조리원,서울특별시 강남구 학동로97길 21-3(청담동),02-3471-2233,680,1800
99,서울,강남구,드라마글로벌산후조리원,서울특별시 강남구 언주로303(역삼동),02-3453-4628,1200,2600
100,서울,강남구,궁산후조리원 강남본원지점,서울특별시 강남구 언주로107길 35  (역삼동),02-555-9550,690,2000
101,서울,강남구,윤호산후조리원,서울특별시 강남구 압구정로 304 (신사동),02-2015-2540,430,510
102,서울,강남구,헤리티지산후조리원 2호점,서울특별시 강남구 영동대로 141길 20,02-517-2433,680,1700
103,서울,강남구,엘 산후조리원,서울특별시 강남구 자곡로 110,02-579-0303,550,660
104,서울,송파구,(주)푸른잎산후조리원,서울특별시 송파구 양산로 12 (거여동),02-431-9694,350,370
105,서울,송파구,라렌느산후조리원,"서울특별시 송파구 석촌호수로 156 (삼전동, 썬프라자)",02-414-3322,290,350
106,서울,송파구,라벨메르산후조리원,서울특별시 송파구 송파대로 49길 3 (석촌동),02-484-3710,270,280
107,서울,송파구,메종드마망산후조리원,서울특별시 송파구 중대로 317 (오금동),02-3401-1004,270,0
108,서울,송파구,맘스맘산후조리원,"서울특별시 송파구 오금로 152 (송파동, 연세빌딩 4층)",02-412-8855,280,310
109,서울,송파구,송파에빠토산후조리원,서울특별시 송파구 마천로 4 (방이동),02-457-7700,450,650
110,서울,송파구,뉴더퀸산후조리원,서울특별시 송파구 석촌호수로 284 현대레이크빌2층 (송파동),02-420-5560,190,0
111,서울,송파구,송파산모건강증진센터산후조리원,서울특별시 송파구 충민로2길 20 (장지동),02-431-3535,350,450
112,서울,송파구,베르사유산후조리원,"서울특별시 송파구 석촌호수로210, 201 (석촌동)",02-413-0035,250,310
113,서울,송파구,아이숲산후조리원,"서울특별시 송파구 백제고분로50길 7-7, 3-5층(방이동)",02-418-3727,360,550
114,서울,송파구,포유문산후조리원,서울특별시 송파구 양재대로 60길 3(가락동),02-6425-1600,210,230
115,서울,강동구,강동맘스㈜,"서울특별시 강동구 천호대로 1099, 6층 (천호동)",02-485-2151,250,270
116,서울,강동구,㈜YK동그라미강동점 가율,"서울특별시 강동구 천호대로 1128, 6~7층 (성내동)",02-485-0087,250,0
117,서울,강동구,임수현,"서울특별시 강동구 구천면로 328,6층 (천호동)",02-426-6568,150,160
118,서울,강동구,마미캠프,"서울특별시 강동구 성안로 156, 4층 (길동)",02-472-6565,210,0
119,서울,강동구,트리니티㈜강동송파점,"서울특별시 강동구 강동대로 143-64, 3층(성내동)",02-486-3300,429,479
120,서울,강동구,몽쉘베베,"서울특별시 강동구 아리수로 421, 7~8층 (강일동)",02-3428-3535,260,0
121,서울,강동구,더(The)동그라미 산후조리원,서울특별시 강동구 양재대로 1657-11(명일동),02-429-6777,270,0
122,서울,강동구,강동미즈,서울특별시 강동구 천호대로 159길 13(천호동),02-470-9114,228,278
123,서울,강동구,㈜시월애,"서울특별시 강동구 올림픽로 833, 3~6층 (암사동)",02-2135-6800,380,450
124,서울,강동구,헤라,"서울특별시 강동구 양재대로 1498, 4층, 5층(길동)",02-6483-0088,450,530
125,서울,강동구,강동드림,"서울특별시 강동구 상일로12길 97, 3~4층(강일동)",02-441-4567,280,350
126,부산,서구,구세산후조리원,서구 구덕로114(충무동 1가),051-253-3555,160,240
127,부산,동구,일신기독병원산후조리원,부산광역시 동구 정공단로 34,051-630-0670,180,0
128,부산,동구,좋은문화산후조리원,부산광역시 동구 범일로 89번길 69,051-643-3700,230,340
129,부산,부산진구,아이사랑산후조리원,부산광역시 부산진구 가야대로 472(개금동),051-890-7100,230,260
130,부산,부산진구,미래산후조리원,부산광역시 부산진구 가야대로 474(개금동),051-714-1234,200,270
131,부산,부산진구,미래여성산후조리원,부산광역시 부산진구 가야대로 459(개금동),051-890-9980,240,300
132,부산,동래구,좋은날에 드라마산후조리원,동래구 충렬대로 449 (안락동),051-522-7575,200,380
133,부산,남구,마미캠프산후조리원,부산광역시 남구 수영로 29 동일스위트 3층,051-621-1241,240,400
134,부산,북구,미래로산후조리원,부산광역시 북구 금곡대로 15,051-330-5620,110,125
135,부산,북구,조은미즈산후조리원,부산광역시 북구 금곡대로 284번지,051-365-3575,200,280
136,부산,북구,맘스웰산후조리원,부산광역시 북구 금곡대로 287-7,051-797-7770,190,290
137,부산,북구,화명일신기독병원 산후조리원,부산광역시 북구 금곡대로264-1,070-4498-6070,130,150
138,부산,해운대구,마미캠프,부산광역시 해운대구 좌동로 88,051-747-3517,240,280
139,부산,해운대구,엘리움,부산광역시 해운대로 794,051-929-6000,275,799
140,부산,해운대구,제일여성,부산광역시 해운대로 좌동로 66,051-743-0331,200,0
141,부산,해운대구,퀸즈파크,"부산광역시 해운대구 해운대로 794,13층",051-715-5150,350,1500
142,부산,사하구,뉴본,부산광역시 사하구 낙동대로 234,051-910-7180,170,220
143,부산,사하구,㈜에디스,"부산광역시 사하구 낙동대로 363, 낙동대로361",051-206-0999,240,340
144,부산,사하구,미래아이,부산광역시 사하구 낙동남로 1388,051-200-9900,216,346
145,부산,금정구,순산후조리원(본관),부산광역시 금정구 중앙대로 1701(부곡동),051-515-0005,180,260
146,부산,금정구,순산후조리원(신관),부산광역시 금정구 중앙대로 1689(부곡동),051-582-0070,220,320
147,부산,연제구,연제일신 산후조리원,부산광역시 연제구 고분로 5,051-852-2031,180,230
148,부산,연제구,위대한탄생 산후조리원,부산광역시 연제구 중앙대로 1083,051-862-0010,180,230
149,부산,수영구,자모여성병원산후조리원,부산광역시 수영구 수영로 555,051-760-0570,165,458
150,부산,수영구,한나여성아이병원산후조리원,부산광역시 수영구 황령대로 481번길7,051-625-2300,155,0
151,부산,기장군,아이앤젤산후조리원,"부산광역시 기장군 정관읍 정관로 601, 5층",051-997-3579,69,109
152,부산,기장군,정관일신기독 산후조리원,"부산광역시 기장군 정관읍 정관6로 31, 9층",051-780-0640,110,130
153,부산,강서구,웰하이 산후조리원,"부산광역시 명지오션시티4로 95, 9층",051-204-5282,190,0
154,대구,동구,아델리아,"대구광역시 동구 안심로 54, 2,3층(율하동)",053-963-6663,240,260
155,대구,서구,닥터안,대구광역시 서구 서대구로49(내당동),053-562-0100,220,260
156,대구,북구,신세계여성병원,대구광역시 북구 동북로 196,053-954-7771,220,290
157,대구,북구,맘앤휴,"대구광역시 북구 동북로 156 (스카이빌당9,10)",053-958-1500,200,220
158,대구,북구,로즈마리,대구광역시 북구 동천동 952-2,053-210-7737,240,250
159,대구,북구,설렘,대구광역시 북구 팔거천동로 218,053-314-0113,220,250
160,대구,북구,류정선,대구광역시 북구 학정로 415 메가타운쓰리 6층,053-352-2900,195,250
161,대구,수성구,김혜정,대구광역시 수성구 명덕로 432(수성동3가),053-656-0012,260,360
162,대구,수성구,본느마망 신관,대구광역시 수성구 수성로 38길 33(중동),053-721-7071,320,370
163,대구,수성구,엘리자벳,대구광역시 수성구 무학로25(상동),053-765-8585,270,360
164,대구,수성구,여성메디파크,대구광역시 수성구 동대구로 271(범어동),053-740-7760,260,320
165,대구,수성구,지노메디,대구광역시 수성구 화랑로 58(만촌동),053-757-2500,176,290
166,대구,수성구,지온,대구광역시 수성구 청수로 166(지산동),053-765-0057,270,320
167,대구,수성구,시엘,대구광역시 수성구 달구벌대로 3116(신매동),053-214-1009,280,330
168,대구,달서구,달서미즈맘,대구광역시 달서구 월배로 62 (진천동 635-3),053-609-5072,195,210
169,대구,달서구,리엘,대구광역시 달서구 월배로 58(진천동 635-1),053-636-2221,240,280
170,대구,달서구,여성아이,대구광역시 달서구 월배로 141(진천동 57-15),070-4571-7072,260,290
171,대구,달서구,김헤정,대구광역시 달서구 구마로 201(성당2동 825-19),053-656-8575,250,0
172,대구,달서구,미래,대구광역시 달서구 와룡로203 (죽전동 274-7),053-608-7200,280,350
173,대구,달서구,달서여성메디파크,대구광역시 달서구 용산로 139 (용산동 230-22),053-667-7530,180,250
174,대구,달서구,꿈담,대구광역시 달서구 이곡서로11 (이곡동 1220-2),053-583-7447,220,240
175,대구,달서구,성모,대구광역시 달서구 월배로 204 (상인동 246-1),053-280-1500,250,280
176,대구,달성군,로즈맘,대구광역시 달성군 다사읍 달구벌대로 874(7층),053-592-3575,200,230
177,대구,달성군,프로마드레,"대구광역시 달성군  유가면 테크노순환로 12길 4, 7층",053-627-5555,270,300
178,인천,미추홀구,고은산후조리원,인천광역시  독배로 463,032-870-5314,260,0
179,인천,미추홀구,W산후조리원,인천광역시  인주대로 400,032-341-3535,280,330
180,인천,미추홀구,아인의료재단 서울산후조리원,"인천광역시  경원대로 768(삼보빌딩), 766(서울빌딩)",032-426-3005,300,350
181,인천,미추홀구,아이미즈 산후조리원,"인천광역시  경원대로 890 (보미리즌빌301,302호)",032-435-3575,200,0
182,인천,미추홀구,아이소망 산후조리원,인천광역시  미추로 56,032-883-6376,230,260
183,인천,연수구,우리산후조리원,"인천광역시  앵고개로 260, 7층",032-816-5464,240,0
184,인천,연수구,미래제일산후조리원,인천광역시  먼우금로 189 소망빌딩 6층,032-246-0101,220,240
185,인천,연수구,허브산후조리원,인천광역시  하모니로 124 송도타운 4층,032-851-2552,330,360
186,인천,연수구,허브산후조리원 2호점,"인천광역시 테크노파크로 111번길 4, 드메티스빌딩 6,7층",070-4253-1138,450,0
187,인천,남동구,아이미즈산후조리원,인천광역시  구월2동342-256 구월프라자7층,032-469-1255,180,0
188,인천,남동구,마이비산후조리원,인천광역시  논현동 632-2 아이플렉스빌딩 7층,032-424-7007,230,250
189,인천,남동구,카리스산후조리원,인천광역시  논현동 c블럭 1로트  에코타워 10층,032-441-5599,310,330
190,인천,남동구,리앤아이산후조리원,인천광역시  논고개로 71번지  가산타워 5층,032-270-7700,260,380
191,인천,부평구,새봄산후조리원,인천광역시  마장로320,032-507-7200,190,260
192,인천,부평구,㈜마벨산후조리원,인천광역시  부흥로294번길4,032-523-0700,230,250
193,인천,부평구,성모산후조리원,인천광역시  부평대로66,032-330-7502,220,260
194,인천,계양구,한림산후조리원,인천 계양구 장제로 718 3층,032-552-9696,230,260
195,인천,계양구,HMB산후조리원,인천 계양구 계산새로 71 하이베라스빌딩 A동 3층,032-554-6100,200,0
196,인천,계양구,엠앤비산후조리원,인천 계양구 장제로 772번길 2,032-552-3500,200,220
197,인천,계양구,엄마손 산후조리원,"인천 계양구 오조산로 53 연세차메디칼빌딩 6,7층",032-552-0035,170,220
198,인천,서구,마리아산후조리원,인천 서구  가정로 358(가정동),032-571-5667,185,205
199,인천,서구,엄마품산후조리원,인천 서구 승학로 528(검암동),032-566-3313,190,0
200,인천,서구,예안(검단서울여성)산후조리원,인천 서구 완정로 8(마전동),032-566-1737,200,230
201,인천,서구,탑(이자르)산후조리원,인천 서구 청마로51번안길22(당하동),032-463-0118,230,0
202,인천,서구,청라산후조리원,"인천 서구 중봉대로 602 7층,8층(연희동)",032-716-6006,290,0
203,인천,서구,그린산후조리원,"인천 서구 건지로 371 5,6층(가좌동)",032-574-3661,260,0
204,인천,서구,뉴마더맘산후조리원,인천 서구 길주로 79 성한캐슬 901호(석남동),032-577-9990,220,250
205,인천,서구,크리스탈산후조리원,인천 서구 크리스탈로 84 레이크가든 4층,032-584-3535,350,380
206,광주,서구,미즈피아산후조리원,광주광역시 서구 시청로 17,062-720-9000,308,420
207,광주,남구,모아산후조리원,광주광역시 남구 백양로13,062-670-7773,168,240
208,광주,북구,에덴병원산후조리원,광주광역시 북구 면앙로170번길10(두암동),062-260-3237,210,222
209,광주,북구,문화여성병원산후조리원,광주광역시 북구북문대로22(운암동),062-511-6100,221,273
210,광주,북구,빛고을산후조리원,광주광역시 북구 하서로395(양산동),062-602-9200,222,408
211,광주,북구,신빛고을산후조리원,광주광역시 북구 하서로395(양산동),062-602-9400,258,300
212,광주,광산구,더블유산후조리원,광주광역시 광산구 임방울대로 331,062-616-9100,215,363
213,대전,동구,가오플러스산후조리원,대전광역시 동구 은어송로 63(가오동),042-286-3535,220,0
214,대전,동구,라온산후조리원,대전광역시 동구 동구청로 89-2(가오동),042-286-3575,220,270
215,대전,서구,서울여성제1산후조리원,"대전광역시 서구 문정로 7, 7~10층(둔산동)",042-488-3565,262,364
216,대전,서구,서울여성제2산후조리원,대전광역시 서구 계룡로491번길 290(둔산동),042-488-3565,280,0
217,대전,서구,모태산후조리원,"대전광역시 서구 대덕대로 189, 8~10층(둔산동)",042-486-1114,256,355
218,대전,서구,더블유산후조리원,"대전광역시 서구 문정로48번길 70, 5층(탄방동)",042-485-0001,378,449
219,대전,서구,예담산후조리원,"대전광역시 서구 도안대로 25, 5~6층(관저동)",042-546-9302,265,330
220,대전,서구,미즈여성산후조리원,"대전광역시 서구 문정로2번길 95, 7~8층(탄방동)",042-483-3576,220,520
221,대전,유성구,아이미래 테크노 산후조리원,"대전광역시 유성구 테크노중앙로 40(관평동,8층)",042-867-7576,200,0
222,대전,유성구,도안누리산후조리원,대전광역시 유성구 원신흥남로28번길(원신흥동),042-820-2850,234,286
223,대전,유성구,미즈제일산후조리원,대전광역시 유성구 계룡로126번길(봉명동),042-821-0001,260,520
224,울산,남구,르보아산후조리원,울산광역시 대공원로 241 코오롱파크폴리스 6층,052-256-1052,260,280
225,울산,남구,보람병원산후조리원,울산광역시 돋질로 336번길 10,052-278-4500,270,0
226,울산,남구,프라우메디병원 산후조리원,울산광역시 삼산중로 94,052-226-7700,250,270
227,울산,남구,리안산후조리원,"울산광역시 번영로 160, 4층",052-272-2378,330,0
228,울산,동구,로즈메디산후조리원,울산광역시 동구 방어진순환도로 747,052-234-3575,180,0
229,울산,중구,맘스산후조리원,"울산광역시 중구 남외2길 36 (6, 7층)",052-290-6721,200,260
230,울산,중구,피오레산후조리원,"울산광역시 중구 종가로 310, M타워 10층",052-256-6011,380,475
231,세종,세종시,르보아산후조리원,"세종특별자치시 한누리대로 165, 세종메디피아빌딩 8층",044-716-1004,330,380
232,세종,세종시,드이자르산후조리원,세종특별자치시 갈매로351에비뉴힐빌딩B동3층,044-905-1004,320,340
233,세종,세종시,서산후조리원,"세종특별자치시 만남로 146번지 삼성프라자 3,4층",044-905-3582,290,310
234,세종,세종시,세종제일산후조리원,"세종특별자치시 한누리대로 2265, 5층,6층",044-867-4600,260,0
235,세종,세종시,㈜봄날산후조리원,"세종특별자치시 마음로78 , 스마트큐브2  6,7층",044-862-1070,300,300
236,경기,고양시 덕양구,주)세인트누보,경기도 고양시 덕양구 충장로 2. 센트럴빌딩8층,031-970-3335,360,410
237,경기,고양시 덕양구,더플라워 동그라미,경기도 고양시 화중로 72번지 6층,031-819-1000,290,320
238,경기,고양시 덕양구,이자르,"경기도 고양시 덕양구중앙로558,16-6(행신동신일빌딩)",031-938-3038,200,0
239,경기,고양시 일산동구,유재,"경기도 고양시 일산동구 중앙로 1317, 6층(장항동, 일산복합빌딩)",031-810-9877,294,375
240,경기,고양시 일산동구,그레이스,"경기도 고양시 일산동구 중앙로 1071, 6~8층(백석동)",031-901-4000,390,420
241,경기,고양시 일산동구,㈜허스토리,"경기도 고양시 일산동구 중앙로1261번길 61, 8~9층(장항동, 메트로골드)",031-902-3588,280,330
242,경기,고양시 일산동구,퀸스파크,"경기도 고양시 일산동구 위시티로 18, 2층(식사동, 동국타워)",031-932-3737,368,408
243,경기,고양시 일산동구,더 아마레,"경기도 고양시 일산동구 일산로 433, 2~3층(정발산동)",031-922-8200,230,250
244,경기,고양시 일산서구,아이산 산후조리원,경기도 고양시 일산서구 덕이로8,031-916-9410,280,0
245,경기,고양시 일산서구,사랑애 산후조리원,"경기도 고양시 일산서구 중앙로1443,",031-911-0704,240,0
246,경기,고양시 일산서구,베니에 산후조리원,경기도 고양시 일산서구 중앙로1559,031-924-5800,230,250
247,경기,광명시,미래여성산후조리원,"경기도 광명시 범안로 1062, 천일빌딩 8~9층",02-807-1002,260,310
248,경기,광명시,레피리움산후조리원 광명,"경기도 광명시 소하로 109번길 22, 3~4층(소하동)",02-898-3572,300,0
249,경기,광명시,광명제일산후조리원(소하점),"경기도 광명시 소하로78, 신성프라자 4층",02-898-0898,230,0
250,경기,광명시,미래휴산후조리원,"경기도 광명시 범안로 1060, 남전빌딩 4층",02-892-2300,250,280
251,경기,광명시,광명제일산후조리원(광명점),"경기도 광명시 광명로 906, 현대빌딩 9층",02-2686-5800,250,0
252,경기,광명시,이즈맘산후조리원,"경기도 광명시 오리로 889, 7~8층(철산동)",02-2066-3555,210,250
253,경기,광명시,광명제일산후조리원 신관,경기도 광명시 광명로 878(광명동),02-2616-2686,290,350
